d,eccentricity,overlap,seed,n_samples,n_components,n_seeds_total,algorithm,ARI,NMI,fit_time,mean_loglik,silhouette,davies_bouldin,calinski_harabasz
10,1,0.8,0,500,3,3,KMeans,0.5100228001357389,0.446492676804003,0.3826313018798828,,0.1183039442912651,2.2119462260028024,68.97777136867306
10,1,0.8,1,500,3,3,GMM,0.4015908868467795,0.3470996636470065,0.23926377296447754,-14.632267363272867,0.10428781173885716,2.3298635648171415,58.37639258241228
10,1,0.8,1,500,3,3,KMeans,0.4689573562679774,0.4071757255831592,0.3689303398132324,,0.11669376267692094,2.211101636976142,65.41625447183588
10,1,0.8,2,500,3,3,GMM,0.38857463923056623,0.33588217470734005,0.3989906311035156,-14.65065667037187,0.09725230673917623,2.517741816347748,56.57487143697313
10,1,0.8,2,500,3,3,KMeans,0.5385380639685426,0.46842114398437706,0.7548272609710693,,0.11460387023086797,2.2500748326908435,65.47314908552973
10,3,0.0,0,500,3,3,GMM,1.0,1.0,0.08407878875732422,-14.634315955306313,0.5308932813011448,0.7123170730332226,631.5311821970782
10,3,0.0,0,500,3,3,KMeans,1.0,1.0,0.16383695602416992,,0.5308932813011448,0.7123170730332226,631.5311821970782
10,3,0.0,1,500,3,3,GMM,1.0,1.0,0.05661940574645996,-14.842800545172999,0.5259838398351173,0.7176663950336657,619.0117539288401
10,3,0.0,1,500,3,3,KMeans,1.0,1.0,0.19706392288208008,,0.5259838398351173,0.7176663950336657,619.0117539288401
10,3,0.0,2,500,3,3,GMM,1.0,1.0,0.045111894607543945,-14.857327314091137,0.5221693694876258,0.7268057604969527,603.7752841580929
10,3,0.0,2,500,3,3,KMeans,1.0,1.0,0.13023734092712402,,0.5221693694876258,0.7268057604969527,603.7752841580929
10,3,0.2,0,500,3,3,GMM,1.0,1.0,0.06796646118164062,-14.63430684208102,0.44984959804783786,0.870384766583217,423.83783728656636
10,3,0.2,0,500,3,3,KMeans,1.0,1.0,0.10483026504516602,,0.44984959804783786,0.870384766583217,423.83783728656636
10,3,0.2,1,500,3,3,GMM,1.0,1.0,0.09481453895568848,-14.842777214917273,0.4448757423699935,0.8762661657787373,417.1562170622865
10,3,0.2,1,500,3,3,KMeans,1.0,1.0,0.35851240158081055,,0.4448757423699935,0.8762661657787373,417.1562170622865
10,3,0.2,2,500,3,3,GMM,1.0,1.0,0.11801457405090332,-14.85732240340513,0.4405022388901393,0.8876923673087989,405.34726410721544
10,3,0.2,2,500,3,3,KMeans,1.0,1.0,0.3523852825164795,,0.4405022388901393,0.8876923673087989,405.34726410721544
10,3,0.4,0,500,3,3,GMM,0.993969818926683,0.9888285217650024,0.09257698059082031,-14.627849351215154,0.34493728121659917,1.1179133716294043,257.4824689590072
10,3,0.4,0,500,3,3,KMeans,0.9879215676614674,0.9776513257007606,0.155029296875,,0.34534114145312694,1.1153445602700567,257.8219390446204
10,3,0.4,1,500,3,3,GMM,0.9879760003870905,0.9776681773848361,0.09833407402038574,-14.83676695591382,0.3409214098868593,1.122640476046674,255.6492690639894
10,3,0.4,1,500,3,3,KMeans,0.9879760003870905,0.9776681773848361,0.2654745578765869,,0.3409214098868593,1.122640476046674,255.6492690639894
10,3,0.4,2,500,3,3,GMM,0.993969818926683,0.9888285217650024,0.18222737312316895,-14.852147860364886,0.33523857548745956,1.1417727921260385,246.01832464017153
10,3,0.4,2,500,3,3,KMeans,0.9879762948044486,0.9801906510597234,0.20370936393737793,,0.3356342826048314,1.1383768844966216,246.56941793817293
10,3,0.6,0,500,3,3,GMM,0.8884764869305697,0.830357470056654,0.0509343147277832,-14.555267254533076,0.2185407559559274,1.5601293123592999,133.75782036515395
10,3,0.6,0,500,3,3,KMeans,0.8999318185375357,0.8445235623189254,0.24969148635864258,,0.22073787151490154,1.5478777650439752,135.4340798846126
10,3,0.6,1,500,3,3,GMM,0.9057231431659869,0.8630108836296958,0.13427305221557617,-14.768088615459726,0.21672410046947432,1.5552930365862556,135.01030658797023
10,3,0.6,1,500,3,3,KMeans,0.8892443061480669,0.8386355087872506,0.17664694786071777,,0.220074882423104,1.5385165969459689,137.3797996375038
10,3,0.6,2,500,3,3,GMM,0.8828332818020304,0.8313453632109037,0.12343692779541016,-14.789692468156128,0.20952818406700086,1.5754126572046012,128.02776532008875
10,3,0.6,2,500,3,3,KMeans,0.8655484450271026,0.8147062482622572,0.2670283317565918,,0.21413237970532378,1.5511721689157405,130.99395414756302
10,3,0.8,0,500,3,3,GMM,0.5895430600798911,0.5202264313498213,0.2622840404510498,-14.275746059420229,0.10211684642175348,2.387626667427436,56.9202942059038
10,3,0.8,0,500,3,3,KMeans,0.5051813972310507,0.4546231137683734,0.40403318405151367,,0.11284967216228617,2.256853426462248,62.606941344631
10,3,0.8,1,500,3,3,GMM,0.36858838059023996,0.3349155559805326,0.27787160873413086,-14.438244253104246,0.09299796823206533,2.5153497116810652,53.03428423285075
10,3,0.8,1,500,3,3,KMeans,0.4680712996231809,0.41257489352564686,0.2542140483856201,,0.11637478443663643,2.2440095444118078,65.94865660327943
10,3,0.8,2,500,3,3,GMM,0.19769752286054312,0.18264258774839337,0.15888643264770508,-14.540594386808797,0.08309507646397822,2.823962805086227,44.578050053382285
